# Transit diffusivity pdf
###################
# *** number of boundary hits 334402
# *** number of transit msds greater than max bin transit msd 51
# version = 1.009
# time for empty site = 0
# number of threads = 32
# cpu time = 4046.74 minutes
# start time = Sat Nov  8 01:00:04 2014
# stop time = Sat Nov  8 03:56:11 2014
# Walk on clusters
# Time function:
# A = 1
# gamma_prime = 0
# n_perc_samples = 20
# n_walks_per_sample = 200
# number_of_cluster_entries_per_walk = 1064.74
### Walk2D
# Lx = 10000
# Ly = 10000
# Number of walks = 128000
# number of steps per walk = 5000000
# Total number of boundary hits = 334402
# Total number of steps = 640000000000
# Walk rng name  = mt19937_64
# Clusters
# Number of clusters 2761062
#### Histogram
# Ncounts 4189571225
# Min data 0
# Max data 153
# Min bin 1e-10
# Max bin 1000
# Nbins 100
# n greater than max 0
# n less than min 19
# Log spacing = true
#
# center pdf counts
#
1.16145e-10 4924.74 720
6.83912e-07 0.00116159 1
9.22571e-07 0.00172219 2
1.24451e-06 0.00255335 4
1.6788e-06 0.00425886 9
2.26464e-06 0.00701586 20
3.05492e-06 0.00832149 32
4.12098e-06 0.00809656 42
5.55904e-06 0.00986053 69
7.49894e-06 0.0125007 118
1.01158e-05 0.0143715 183
1.36458e-05 0.0158933 273
1.84077e-05 0.0171333 397
2.48313e-05 0.0190037 594
3.34965e-05 0.0213923 902
4.51856e-05 0.0259324 1475
6.09537e-05 0.0260794 2001
8.22243e-05 0.0306371 3171
0.000110917 0.0313994 4384
0.000149624 0.0344956 6497
0.000201837 0.0387653 9849
0.00027227 0.0425528 14584
0.000367282 0.0450612 20833
0.00049545 0.0496712 30978
0.000668344 0.0544779 45832
0.000901571 0.0593359 67339
0.00121619 0.0648459 99273
0.00164059 0.0705135 145620
0.00221309 0.0767545 213822
0.00298538 0.0841325 316164
0.00402717 0.0912734 462693
0.0054325 0.0995724 680907
0.00732825 0.108301 999035
0.00988553 0.116394 1.44837e+06
0.0133352 0.126568 2.12458e+06
0.0179887 0.13797 3.12416e+06
0.0242661 0.149017 4.55182e+06
0.0327341 0.15715 6.47533e+06
0.044157 0.173264 9.63066e+06
0.0595662 0.181039 1.35744e+07
0.0803526 0.187857 1.9001e+07
0.108393 0.209917 2.86416e+07
0.146218 0.211991 3.90182e+07
0.197242 0.227281 5.64302e+07
0.266073 0.22404 7.50367e+07
0.358922 0.269811 1.21901e+08
0.484172 0.22627 1.37904e+08
0.653131 0.274868 2.25982e+08
0.881049 0.357881 3.96906e+08
1.1885 0.173618 2.59742e+08
1.60325 0.128127 2.58576e+08
2.16272 0.400361 1.08993e+09
2.91743 0.0563628 2.06986e+08
3.9355 0.116395 5.76613e+08
5.30884 0.0577326 3.85807e+08
7.16143 0.00944588 8.51513e+07
9.66051 0.0108042 1.31384e+08
13.0317 0.00138416 2.27058e+07
17.5792 0.00102173 2.26091e+07
23.7137 0.000121967 3.64075e+06
31.989 3.09886e-05 1.24782e+06
43.1519 4.48435e-06 243584
58.2103 6.26609e-07 45914
78.5236 7.21442e-08 7131
105.925 3.84741e-09 513
142.889 2.11269e-10 38
192.752 8.24292e-12 2
