# Transit MSD pdf
###################
# *** number of boundary hits 334402
# *** number of transit msds greater than max bin transit msd 51
# version = 1.009
# time for empty site = 0
# number of threads = 32
# cpu time = 4046.74 minutes
# start time = Sat Nov  8 01:00:04 2014
# stop time = Sat Nov  8 03:56:11 2014
# Walk on clusters
# Time function:
# A = 1
# gamma_prime = 0
# n_perc_samples = 20
# n_walks_per_sample = 200
# number_of_cluster_entries_per_walk = 1064.74
### Walk2D
# Lx = 10000
# Ly = 10000
# Number of walks = 128000
# number of steps per walk = 5000000
# Total number of boundary hits = 334402
# Total number of steps = 640000000000
# Walk rng name  = mt19937_64
# Clusters
# Number of clusters 2761062
#### Histogram
# Ncounts 4189571225
# Min data 0
# Max data 2.51376e+07
# Min bin 0.1
# Max bin 2.51276e+07
# Nbins 100
# n greater than max 51
# n less than min 19
# Log spacing = true
#
# center pdf counts
#
0.110154 8.05346e-06 720
0.13366 0 0
0.162182 0 0
0.196791 0 0
0.238785 0 0
0.28974 0 0
0.351568 0 0
0.426591 0 0
0.517622 0 0
0.628079 0 0
0.762107 0 0
0.924735 0.000164492 123456
1.12207 0 0
1.36151 0 0
1.65204 0 0
2.00458 0.633632 1.03088e+09
2.43234 0 0
2.95139 0 0
3.58119 0 0
4.3454 0.217146 7.65827e+08
5.27267 0.184704 7.90418e+08
6.39782 0 0
7.76308 0.0279771 1.76273e+08
9.41966 0.0610694 4.66883e+08
11.4298 0 0
13.8688 0.0132734 1.49406e+08
16.8283 0.0146171 1.99642e+08
20.4193 0.00405526 6.72061e+07
24.7767 0.00545072 1.09609e+08
30.0638 0.00191279 4.66725e+07
36.4792 0.00255404 7.56177e+07
44.2637 0.00086755 3.11667e+07
53.7092 0.00126238 5.50287e+07
65.1704 0.00062848 3.32423e+07
79.0773 0.000550029 3.5301e+07
95.9519 0.000308964 2.40608e+07
116.427 0.000228206 2.15641e+07
141.272 0.000152713 1.75098e+07
171.419 0.000107657 1.49779e+07
207.998 7.69463e-05 1.29896e+07
252.383 5.03453e-05 1.03126e+07
306.24 3.40323e-05 8.45869e+06
371.59 2.50259e-05 7.54748e+06
450.885 1.68443e-05 6.16408e+06
547.1 1.14053e-05 5.06436e+06
663.848 8.14808e-06 4.39008e+06
805.508 5.42419e-06 3.54612e+06
977.398 3.89756e-06 3.09181e+06
1185.97 2.67409e-06 2.57394e+06
1439.05 1.80383e-06 2.10678e+06
1746.13 1.27821e-06 1.81145e+06
2118.74 9.15015e-07 1.57346e+06
2570.86 6.15868e-07 1.28504e+06
3119.47 4.33166e-07 1.09669e+06
3785.14 3.03094e-07 931126
4592.86 2.09343e-07 780352
5572.95 1.4685e-07 664215
6762.18 1.02277e-07 561325
8205.18 7.19015e-08 478823
9956.1 5.03914e-08 407188
12080.7 3.525e-08 345620
14658.6 2.47071e-08 293943
17786.6 1.71575e-08 247683
21582.2 1.21931e-08 213579
26187.7 8.47595e-09 180150
31775.9 5.99687e-09 154658
38556.7 4.18967e-09 131108
46784.4 2.91658e-09 110745
56767.9 2.04438e-09 94192
68881.8 1.43984e-09 80495
83580.7 1.00194e-09 67967
101416 7.04963e-10 58026
123058 4.974e-10 49678
149317 3.46833e-10 42032
181181 2.44212e-10 35911
219843 1.73056e-10 30878
266756 1.24308e-10 26913
323680 8.85714e-11 23268
392752 6.28838e-11 20045
476562 4.56844e-11 17670
578257 3.21954e-11 15110
701653 2.31144e-11 13163
851381 1.59423e-11 11016
1.03306e+06 1.11254e-11 9328
1.25351e+06 7.86641e-12 8003
1.521e+06 5.69965e-12 7036
1.84557e+06 4.18323e-12 6266
2.2394e+06 2.87589e-12 5227
2.71727e+06 2.00148e-12 4414
3.29712e+06 1.50487e-12 4027
4.0007e+06 1.05112e-12 3413
4.85442e+06 7.06615e-13 2784
5.89032e+06 4.96165e-13 2372
7.14728e+06 3.16334e-13 1835
8.67245e+06 2.12682e-13 1497
1.05231e+07 1.25166e-13 1069
1.27687e+07 6.66782e-14 691
1.54934e+07 3.76154e-14 473
1.87996e+07 1.76301e-14 269
2.28113e+07 1.2045e-14 223
