# Transit time pdf
###################
# *** number of boundary hits 334402
# *** number of transit msds greater than max bin transit msd 51
# version = 1.009
# time for empty site = 0
# number of threads = 32
# cpu time = 4046.74 minutes
# start time = Sat Nov  8 01:00:04 2014
# stop time = Sat Nov  8 03:56:11 2014
# Walk on clusters
# Time function:
# A = 1
# gamma_prime = 0
# n_perc_samples = 20
# n_walks_per_sample = 200
# number_of_cluster_entries_per_walk = 1064.74
### Walk2D
# Lx = 10000
# Ly = 10000
# Number of walks = 128000
# number of steps per walk = 5000000
# Total number of boundary hits = 334402
# Total number of steps = 640000000000
# Walk rng name  = mt19937_64
# Clusters
# Number of clusters 2761062
#### Histogram
# Ncounts 4189571225
# Min data 1
# Max data 4.99663e+06
# Min bin 0.1
# Max bin 2.14094e+07
# Nbins 100
# n greater than max 0
# n less than min 0
# Log spacing = true
#
# center pdf counts
#
1.09983 1.66618 1.47494e+09
1.95544 0.380858 5.99425e+08
2.86983 0.160708 3.71211e+08
4.2118 0.0695201 2.35671e+08
5.10239 0.0431519 1.77215e+08
6.1813 0.0267059 1.32866e+08
7.48835 0.0324396 1.95519e+08
9.07177 0.0101483 7.4099e+07
10.99 0.0184576 1.63268e+08
13.3139 0.0073037 7.82662e+07
16.1291 0.00689756 8.95433e+07
19.5396 0.00548779 8.63061e+07
23.6713 0.0040059 7.6322e+07
28.6767 0.00239816 5.53521e+07
34.7404 0.00201094 5.6229e+07
42.0863 0.00135463 4.5887e+07
50.9855 0.000998981 4.0995e+07
61.7664 0.000652862 3.24565e+07
74.8271 0.000523975 3.1557e+07
90.6494 0.000345627 2.52174e+07
109.817 0.000249929 2.2091e+07
133.038 0.000179441 1.92144e+07
161.169 0.000123787 1.60577e+07
195.249 8.57364e-05 1.34735e+07
236.535 6.1715e-05 1.17493e+07
286.55 4.25789e-05 9.82026e+06
347.142 2.99539e-05 8.36926e+06
420.546 2.06679e-05 6.99578e+06
509.471 1.4625e-05 5.99712e+06
617.199 1.02491e-05 5.09139e+06
747.707 7.10563e-06 4.27623e+06
905.81 4.99482e-06 3.64153e+06
1097.35 3.49249e-06 3.08465e+06
1329.38 2.4476e-06 2.61889e+06
1610.48 1.70576e-06 2.21106e+06
1951.02 1.19486e-06 1.87632e+06
2363.56 8.37486e-07 1.59321e+06
2863.34 5.86294e-07 1.35119e+06
3468.8 4.10895e-07 1.1472e+06
4202.29 2.89165e-07 978044
5090.87 2.02202e-07 828523
6167.34 1.41998e-07 704866
7471.43 9.98363e-08 600371
9051.28 6.99952e-08 509924
10965.2 4.93364e-08 435422
13283.8 3.46029e-08 369966
16092.7 2.43405e-08 315272
19495.5 1.72259e-08 270298
23617.8 1.19884e-08 227892
28611.9 8.45029e-09 194601
34661.9 5.94435e-09 165838
41991.2 4.19968e-09 141939
50870.3 2.94802e-09 120704
61626.9 2.0793e-09 103137
74658 1.45947e-09 87700
90444.6 1.0305e-09 75017
109569 7.29227e-10 64310
132738 5.12874e-10 54794
160805 3.68074e-10 47639
194808 2.58853e-10 40587
236000 1.84185e-10 34986
285903 1.28879e-10 29657
346358 9.2236e-11 25713
419595 6.55807e-11 22148
508320 4.58189e-11 18746
615805 3.24083e-11 16063
746017 2.29412e-11 13775
903764 1.63497e-11 11893
1.09487e+06 1.16826e-11 10295
1.32638e+06 8.40698e-12 8975
1.60684e+06 5.91044e-12 7644
1.94661e+06 4.30566e-12 6746
2.35823e+06 3.08418e-12 5854
2.85688e+06 2.25752e-12 5191
3.46097e+06 1.66281e-12 4632
4.19279e+06 1.23538e-12 4169
5.07937e+06 3.7987e-13 1553
